Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.0,1222.4,0.0,168.83333,12.0,199.0,0.0,0.06140625,4.230212,0.0,Feb,2,3,3,2,New_Visitor,False,False
0.0,1013.17145,1.0,503.25,240.0,281.43332,0.03888889,0.028846154,29.462845,0.8,May,1,2,3,13,Returning_Visitor,False,False
1.0,0.0,0.0,294.0,226.0,54.5,0.001694915,0.06425926,5.8730006,0.8,Nov,3,2,3,3,Returning_Visitor,False,False
0.0,239.33333,1.0,0.0,275.0,308.45834,0.013541667,0.018571429,6.651335,0.0,May,4,2,1,13,Returning_Visitor,True,False
4.0,352.36667,0.0,105.13333,75.0,447.0476,0.022902098,0.010759765,16.968855,0.0,Aug,1,2,6,2,Returning_Visitor,True,False
0.0,152.83333,0.0,68.75,66.0,1212.8096,0.014666667,0.11153846,37.211838,0.6,May,2,1,3,3,Returning_Visitor,True,False
0.0,18.6,0.0,10.5,50.0,2381.0972,0.001494396,0.01351025,106.25252,0.0,Feb,3,2,2,2,Returning_Visitor,False,False
9.0,86.328575,0.0,175.5,66.0,1135.8806,0.022,0.019314285,12.207801,0.0,Sep,1,2,1,2,Returning_Visitor,False,False
3.0,129.9,0.0,1005.0,258.0,2834.28,0.013068182,0.026086956,11.37726,0.0,Dec,2,2,3,2,Returning_Visitor,False,False
6.0,192.66548,0.0,0.0,75.0,841.7833,0.007058824,0.0734127,2.323162,0.0,Nov,4,2,4,13,Returning_Visitor,False,True
10.0,243.16667,2.0,51.0,200.0,1083.6904,0.014613095,0.034343433,12.764902,0.0,Mar,1,2,1,3,Returning_Visitor,False,False
0.0,169.5,0.0,100.25,77.0,685.0,0.01925926,0.010971006,54.048695,0.0,Dec,5,2,8,3,Returning_Visitor,True,True
4.0,365.0,0.0,36.25,182.0,3277.0,0.007520348,0.026086956,15.152057,0.0,May,2,2,2,4,Returning_Visitor,False,False
4.0,235.75,2.0,49.5,3.0,92.333336,0.08235294,0.021312784,3.8360798,0.0,Dec,2,2,1,1,Returning_Visitor,True,False
12.0,35.0,0.0,232.73334,38.0,253.55417,0.004021164,0.023773007,88.95487,0.0,May,2,9,2,2,Returning_Visitor,True,False
4.0,60.0,2.0,0.0,12.0,165.4,0.003760684,0.013305319,12.360043,0.0,May,1,2,1,13,Returning_Visitor,False,False
11.0,134.37334,0.0,192.25,170.0,1136.603,0.005373737,0.02802469,7.224419,0.0,Mar,2,1,3,2,Returning_Visitor,False,True
1.0,85.2,3.0,54.5,440.0,104.25,0.006527627,0.031707317,8.072426,0.0,Nov,2,2,4,2,Returning_Visitor,False,False
3.0,427.0,1.0,1174.0,14.0,3373.0159,0.041269843,0.051282052,19.82771,0.6,May,2,12,3,3,Returning_Visitor,False,False
15.0,58.333332,3.0,3.5,65.0,3713.58,0.024937343,0.06615887,15.658084,0.0,May,3,2,3,12,Returning_Visitor,False,False
5.0,50.333332,0.0,505.16666,231.0,3022.3704,0.007179487,0.018145896,63.553375,0.0,Dec,2,2,7,1,Returning_Visitor,False,True
4.0,149.01335,0.0,88.6,17.0,2530.5,0.029946525,0.016410256,67.30929,0.0,Feb,2,1,1,1,Returning_Visitor,False,False
9.0,82.23485,4.0,360.0,50.0,4501.4336,0.002073171,0.011684359,0.89849544,0.0,May,2,2,1,5,Returning_Visitor,False,False
1.0,131.33333,0.0,16.5,186.0,1143.3485,0.028594771,0.011671335,82.12368,0.0,Dec,2,2,4,10,Returning_Visitor,True,False
6.0,66.333336,0.0,21.8,54.0,2159.0042,0.17692308,0.015833333,13.661589,0.0,Mar,2,1,4,2,Returning_Visitor,False,False
0.0,440.10416,0.0,105.0,318.0,738.8861,0.0,0.014052288,45.4895,0.0,Mar,2,5,1,2,Returning_Visitor,True,True
1.0,81.75,0.0,33.75,93.0,1661.1333,0.01468254,0.013953488,42.705055,0.0,May,2,2,1,2,New_Visitor,True,False
13.0,214.6,0.0,286.66666,227.0,916.5,0.015873017,0.008024691,1.3325107,0.0,May,3,2,1,4,Returning_Visitor,False,False
22.0,239.83333,1.0,132.0,46.0,825.14014,0.01255814,0.029851908,11.706146,0.0,Oct,2,2,1,13,Returning_Visitor,False,False
10.0,252.8125,0.0,40.8,28.0,243.83333,0.001515152,0.007751938,83.93274,0.0,Aug,1,2,4,3,Returning_Visitor,True,False
1.0,376.8,0.0,546.5,145.0,305.24,0.001081081,0.023835616,0.0,0.0,Aug,1,1,6,1,Returning_Visitor,False,False
0.0,618.0,1.0,11.0,18.0,41.133335,0.16428572,0.019568766,5.6772866,0.0,Aug,2,2,1,1,Returning_Visitor,False,True
0.0,406.0,0.0,177.8,17.0,610.975,0.003863636,0.001169591,0.0,0.2,Nov,2,3,4,20,Returning_Visitor,False,False
4.0,108.833336,0.0,629.5143,50.0,1178.4967,0.012378641,0.06880303,14.744496,0.0,Dec,1,5,3,6,Returning_Visitor,True,False
