Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,699.1667,0.0,80.0,7.0,3098.6494,0.014473684,0.07833333,0.0,0.0,Jul,1,4,8,10,Returning_Visitor,False,False
0.0,127.1,2.0,432.2,28.0,297.3,0.000472813,0.030496867,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,True,False
0.0,123.2,0.0,62.25,6.0,1155.0,0.2,0.015479685,75.62995,0.0,Oct,2,2,3,3,Returning_Visitor,False,False
0.0,56.666668,0.0,0.0,12.0,937.86536,0.0,0.030060764,81.33444,0.0,Mar,2,2,3,4,Returning_Visitor,False,False
5.0,51.041668,0.0,0.0,4.0,747.9078,0.037333332,0.020522088,86.31034,0.0,Dec,3,2,1,20,Other,False,False
3.0,25.6,7.0,43.2,6.0,1584.0444,0.0,0.007605389,14.3312435,0.0,Mar,1,1,1,3,Returning_Visitor,True,False
0.0,54.833332,0.0,193.25,2.0,832.8333,0.037525773,0.002547045,23.510248,0.0,May,2,2,1,1,Returning_Visitor,False,True
1.0,674.0,0.0,0.0,2.0,825.0833,0.0055,0.05897436,0.0,0.0,May,1,1,4,2,Returning_Visitor,False,False
0.0,121.666664,0.0,294.6,15.0,352.8,0.0,0.053846154,45.4895,0.0,Nov,2,2,2,1,Returning_Visitor,False,False
0.0,0.0,0.0,540.3333,1.0,562.1667,0.012121212,0.07833333,14.792,0.6,May,3,8,2,4,Returning_Visitor,False,False
8.0,58.5,1.0,74.0,12.0,2872.719,0.001183432,0.01009842,14.028639,0.0,Nov,2,2,7,15,New_Visitor,True,False
3.0,115.6,0.0,0.0,3.0,272.5,0.0,0.08472222,23.76322,0.0,Dec,2,6,5,5,New_Visitor,True,False
16.0,249.0,0.0,0.0,62.0,953.6667,0.013793103,0.0388028,15.151049,0.0,Jul,1,1,7,2,Returning_Visitor,False,False
15.0,77.666664,4.0,944.75,80.0,2295.1821,0.005268892,0.01196589,13.718125,0.0,May,2,2,1,13,Returning_Visitor,False,True
0.0,965.5,0.0,69.5,5.0,0.0,0.00754386,0.007309582,11.8290415,0.2,May,2,2,3,3,Returning_Visitor,False,False
6.0,115.8,0.0,0.0,55.0,4656.3315,0.018666668,0.020689655,0.0,0.0,Dec,1,1,1,2,Returning_Visitor,True,False
