Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.0,305.66666,0.0,295.4,220.0,952.1598,0.015625,0.018007865,43.71857,1.0,Nov,1,1,8,2,Other,True,True
2.0,0.0,1.0,80.6,42.0,1210.9177,0.005555556,0.025355417,5.482896,0.0,Nov,1,12,1,17,Other,True,True
3.0,169.2,0.0,254.75,83.0,539.22736,0.02745922,0.02243106,21.859585,0.0,Sep,1,2,6,20,Returning_Visitor,True,True
20.0,46.0,0.0,545.0,151.0,7181.878,0.00027604,0.003655914,39.42,0.0,Dec,4,12,1,6,Other,False,True
10.0,174.3,0.0,103.166664,83.0,879.8,0.002883379,0.004094211,19.785334,0.0,Sep,1,12,1,20,Returning_Visitor,False,True
9.0,222.875,9.0,608.45,174.0,1233.3077,0.001869159,0.028282829,31.178125,0.0,Nov,1,2,6,9,Returning_Visitor,False,True
1.0,49.0,13.0,274.0,97.0,461.08334,0.009142857,0.07436975,23.76322,0.0,Dec,2,9,6,20,Returning_Visitor,False,True
3.0,117.666664,7.0,32.7,180.0,549.95,0.007446809,0.02659864,15.564622,1.0,Nov,2,8,1,2,Other,False,True
3.0,7.0,1.0,30.666666,237.0,1589.625,0.014942529,0.022357725,57.824738,0.0,Nov,1,8,8,2,Returning_Visitor,True,True
15.0,125.5,1.0,165.0,106.0,2248.9143,0.037619047,0.10166667,11.019428,0.0,Sep,2,12,6,6,Returning_Visitor,False,False
1.0,135.5,9.0,12.0,125.0,1529.3047,0.013114754,0.003240964,87.90296,0.0,Nov,1,12,4,18,Returning_Visitor,False,True
20.0,133.86667,4.0,468.4,71.0,176.1,0.06666667,0.0296601,6.149344,0.0,Nov,1,8,6,20,Returning_Visitor,False,True
