Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3.0,152.83333,9.0,136.0,328.0,8.0,0.021875,0.029308734,1.9907887,0.0,May,2,3,3,20,Other,True,False
2.0,345.01666,0.0,147.16667,82.0,1480.2333,0.027659575,0.05423077,5.482896,0.0,Mar,1,2,1,15,Other,True,False
1.0,206.0,12.0,223.15,290.0,1936.55,0.06041667,0.035882354,76.786674,0.0,Dec,4,2,3,20,Other,False,False
18.0,114.259155,16.0,693.5,166.0,935.0972,0.000641026,0.032246377,6.149344,0.4,Mar,4,2,3,2,Returning_Visitor,True,False
0.0,296.86,8.0,1188.5,157.0,111.6,0.028205128,0.020580808,9.829115,0.0,May,8,3,1,12,Other,False,True
14.0,118.9,9.0,330.0,114.0,1423.9679,0.012004662,0.016060606,21.474485,0.0,June,4,2,3,2,Returning_Visitor,False,False
3.0,38.0,9.0,505.16666,49.0,1791.7,0.007619048,0.04131579,22.659412,0.0,Dec,1,2,3,2,Returning_Visitor,False,False
4.0,0.0,16.0,1150.0,48.0,649.25,0.007526882,0.05423077,6.738395,0.0,Dec,8,1,3,20,Returning_Visitor,True,False
4.0,115.72727,9.0,239.2,280.0,608.4167,0.006940472,0.06321429,55.23646,0.2,May,4,1,4,10,Other,False,True
27.0,298.0,0.0,704.75,423.0,1213.65,0.015662579,0.013932981,47.578983,0.0,Mar,3,2,5,12,Returning_Visitor,False,True
27.0,119.566666,9.0,418.5,254.0,443.56668,0.05357143,0.004093567,27.664,0.8,Nov,4,1,3,8,Other,False,True
1.0,2047.2349,12.0,303.65,205.0,581.2262,0.008914729,0.0475,17.527657,0.0,Nov,2,2,3,9,Returning_Visitor,False,False
27.0,39.3,9.0,70.25,70.0,2558.5,0.001481481,0.01127957,32.730618,0.4,Mar,8,1,3,12,Other,True,True
13.0,127.7,12.0,24.5,211.0,509.12143,0.016571429,0.015925925,140.66214,0.0,Dec,3,4,3,2,Returning_Visitor,False,False
0.0,322.83334,3.0,518.8,114.0,296.39285,0.001481481,0.03376646,36.962204,0.0,Mar,8,12,9,2,Other,True,True
18.0,228.5,4.0,327.0,164.0,1562.3334,0.007876231,0.013207547,0.90283567,0.0,May,5,4,3,20,Returning_Visitor,False,False
0.0,223.375,1.0,447.5,211.0,805.0993,0.012852234,0.002272727,20.157103,0.4,Dec,2,3,1,9,Other,False,False
6.0,197.4,12.0,24.2,93.0,687.48334,0.015327635,0.086666666,24.726618,0.2,Sep,4,1,5,7,Returning_Visitor,False,False
14.0,190.92319,0.0,235.6,280.0,214.75,0.003723404,0.026312057,10.518095,0.0,Nov,2,1,1,3,New_Visitor,True,False
0.0,63.25,9.0,48.3,166.0,1876.3334,0.01025641,0.004487179,6.012671,0.0,Nov,2,7,9,13,Other,True,False
0.0,17.333334,0.0,53.2,35.0,1675.5254,0.011219512,0.016896551,25.100433,0.8,Nov,4,11,5,3,Other,False,False
0.0,63.4,5.0,124.25,166.0,1622.8833,0.006818182,0.022611111,6.6249475,0.4,May,1,2,4,20,Other,False,False
13.0,10.3,12.0,115.25,11.0,652.9238,0.010112994,0.05151515,1.4640105,0.4,May,2,1,2,20,New_Visitor,False,False
0.0,166.0,3.0,353.96667,56.0,1090.7,0.00754386,0.02770134,16.197319,0.4,Nov,3,7,2,20,Returning_Visitor,False,False
14.0,388.3,0.0,36.333332,358.0,47.3,0.005208333,0.004062416,60.58437,0.2,Nov,8,2,4,2,Returning_Visitor,False,True
2.0,153.5,16.0,518.8,74.0,2587.5305,0.008888889,0.04464286,9.517421,0.8,May,3,2,2,10,Returning_Visitor,False,False
0.0,19.333334,9.0,14.333333,95.0,1748.0,0.03678161,0.020433156,6.47591,0.8,May,2,11,5,2,Returning_Visitor,False,False
1.0,197.25,0.0,164.625,78.0,1602.35,0.04222222,0.045272727,10.207777,0.0,Nov,3,2,3,1,Returning_Visitor,False,False
18.0,236.83333,4.0,135.0,111.0,1678.4,0.008914729,0.014414414,16.7421,0.0,Mar,2,2,9,13,Other,False,False
14.0,133.5,0.0,236.0,11.0,498.5,0.07692308,0.004395604,34.6016,0.4,Nov,2,11,3,13,Returning_Visitor,False,False
9.0,39.5,9.0,245.8,2.0,331.25,0.003773585,0.09066667,23.863592,0.8,Mar,2,3,3,3,New_Visitor,False,False
1.0,340.59167,3.0,25.5,117.0,676.25,0.018627452,0.01989011,9.517421,0.6,Mar,2,2,2,20,New_Visitor,True,False
0.0,157.31667,0.0,138.5,205.0,288.43332,0.001265823,0.014262023,7.248758,0.2,May,1,2,1,13,Returning_Visitor,False,False
27.0,20.0,0.0,17.0,337.0,308.7,0.09090909,0.04395145,7.053335,0.0,Mar,2,3,3,3,Returning_Visitor,False,False
3.0,110.25,0.0,29.75,122.0,1403.8419,0.06153846,0.025837468,6.165,0.0,Nov,2,1,3,2,New_Visitor,False,True
16.0,65.92857,9.0,197.41667,255.0,1669.025,0.002556818,0.0225,3.8894594,0.0,Mar,5,2,3,1,Returning_Visitor,True,False
27.0,21.333334,16.0,60.0,28.0,2900.7917,0.01981982,0.024502924,14.63524,0.0,Nov,2,7,3,12,Returning_Visitor,False,False
0.0,39.4,0.0,312.0,82.0,2734.8184,0.006779661,0.01607378,42.98453,0.0,June,1,2,1,10,Returning_Visitor,False,False
3.0,52.875,1.0,101.0,168.0,549.78,0.01474359,0.011277952,1.1640754,0.2,Mar,2,7,3,20,Returning_Visitor,True,False
14.0,250.08333,0.0,924.0,31.0,1267.0625,0.008045977,0.1388889,8.805139,0.2,May,8,3,2,2,Returning_Visitor,True,False
14.0,327.4,4.0,886.25,385.0,805.0993,0.005442177,0.012782022,1.3857919,0.2,Mar,3,2,4,3,Returning_Visitor,True,False
3.0,45.833332,9.0,144.2,62.0,452.25,3.83e-05,0.116,21.834202,0.4,Mar,8,2,3,7,Returning_Visitor,True,True
13.0,10.3,9.0,704.75,385.0,1213.65,0.042528737,0.022295918,24.752653,0.0,May,1,11,3,1,Other,False,True
14.0,10.0,16.0,124.25,213.0,571.5,0.023015874,0.009111111,5.8181515,0.4,Mar,3,7,1,12,Returning_Visitor,True,False
27.0,820.0,0.0,212.8,254.0,644.25,0.039463602,0.0348659,44.67925,0.2,Mar,3,1,3,6,New_Visitor,True,False
27.0,52.875,4.0,108.8,486.0,2141.9028,0.0,0.044761904,7.05993,0.0,Nov,2,2,3,9,Returning_Visitor,False,False
4.0,10.0,0.0,49.733334,237.0,233.5,0.005142857,0.02434568,7.2968893,0.6,Mar,2,1,1,15,Returning_Visitor,True,False
6.0,111.93,0.0,861.0,186.0,3085.62,0.01474359,0.011594203,14.839783,0.0,Nov,2,2,1,3,Other,False,False
27.0,129.0,4.0,62.75,78.0,906.23334,0.005263158,0.026060605,9.829115,0.2,Mar,2,2,7,3,Returning_Visitor,True,True
14.0,299.08334,0.0,704.75,111.0,174.08333,0.004109589,0.050155632,49.3886,0.0,Dec,2,9,4,9,Returning_Visitor,False,False
0.0,279.28,0.0,1150.0,11.0,1372.4556,0.034375,0.01728863,12.455,0.0,Mar,1,1,1,13,Returning_Visitor,False,False
14.0,136.4,12.0,26.5,149.0,1186.6,0.008461538,0.0702381,17.706848,0.0,Mar,3,1,2,20,Returning_Visitor,False,False
14.0,50.066666,3.0,77.958336,4.0,414.86667,0.0005,0.068571426,8.224169,0.0,Mar,8,2,7,1,New_Visitor,True,False
13.0,537.5,9.0,286.08334,92.0,1588.6666,0.018627452,0.012017544,52.70052,0.0,Nov,1,2,5,8,Returning_Visitor,False,False
