Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3.0,316.8,0.0,0.0,47.0,288.0,0.013675214,0.018472224,6.6249475,0.0,Dec,2,1,5,3,Returning_Visitor,True,False
2.0,77.5,0.0,0.0,28.0,142.75,0.011898734,0.026200717,12.999384,0.0,Nov,3,2,5,4,Returning_Visitor,False,False
1.0,227.5327,2.0,124.26667,32.0,1784.7552,0.002,0.004385965,0.0,0.0,May,1,1,1,3,Returning_Visitor,False,False
1.0,191.16667,1.0,710.0,12.0,375.91666,0.000169693,0.030213239,30.049217,0.0,Nov,1,2,7,3,Returning_Visitor,False,False
0.0,790.9,0.0,61.6,11.0,594.0,0.010752688,0.02246474,67.98928,0.0,Sep,1,1,1,2,Returning_Visitor,False,False
11.0,614.1667,3.0,29.75,176.0,54.5,0.104166664,0.008870523,11.157343,0.0,Nov,1,2,9,4,Returning_Visitor,False,False
0.0,304.5,1.0,0.0,199.0,1343.9464,0.006837607,0.037647057,127.308014,0.0,May,2,2,6,3,Returning_Visitor,False,False
5.0,196.25,0.0,48.3,336.0,1739.575,0.007699443,0.052845526,16.539091,0.0,Dec,1,2,6,14,Returning_Visitor,False,False
0.0,76.25,0.0,0.0,315.0,278.91428,0.006494118,0.020769697,0.0,1.0,Mar,1,2,1,1,Returning_Visitor,True,False
0.0,203.28,0.0,0.0,190.0,298.0,0.003138528,0.07239953,6.5480113,0.0,Dec,3,2,1,2,Returning_Visitor,True,False
0.0,240.8,0.0,189.5,118.0,161.66667,0.01,0.010840336,34.989925,0.0,Mar,2,2,4,1,Returning_Visitor,False,False
0.0,0.0,0.0,94.166664,13.0,836.5,0.0,0.011320755,77.042,0.2,May,1,2,3,6,Returning_Visitor,False,False
9.0,127.5,3.0,0.0,84.0,787.2,0.001754386,0.027941177,0.0,0.0,Nov,2,1,1,2,Returning_Visitor,False,False
4.0,32.6,2.0,1.5,29.0,3152.5,0.015384615,0.027380953,0.58275,0.0,Nov,2,2,3,3,New_Visitor,False,False
4.0,106.0,0.0,33.75,229.0,319.66666,0.004316069,0.030748539,9.137331,0.0,Jul,1,6,1,4,Returning_Visitor,False,True
0.0,585.8,0.0,0.0,291.0,157.1,0.05090909,0.051923078,18.196756,0.0,May,3,2,1,3,Returning_Visitor,True,False
2.0,63.75,0.0,38.5,27.0,1384.5,0.069565214,0.022972973,59.611843,0.0,Nov,1,2,1,4,Returning_Visitor,True,False
0.0,129.5,0.0,80.6,8.0,694.7121,0.011363636,0.032985132,17.706848,0.0,May,2,6,6,2,Returning_Visitor,True,False
2.0,268.2,0.0,1.5,13.0,78.0,0.021311475,0.003468013,4.596751,0.0,Nov,1,2,7,8,Returning_Visitor,False,True
4.0,243.75,2.0,141.88,164.0,1822.8667,0.001699507,0.037962962,7.19882,0.0,May,2,2,1,6,Returning_Visitor,False,False
4.0,180.0,0.0,126.0,10.0,1048.9802,0.04375,0.002734559,28.398333,0.0,Oct,2,2,2,4,New_Visitor,False,False
3.0,149.03162,0.0,300.9,190.0,2362.5,0.011259259,0.2,75.06782,0.0,Sep,2,2,3,6,New_Visitor,False,False
0.0,507.0,0.0,468.4,90.0,3445.0125,0.000374532,0.037647057,3.9603064,0.0,Dec,4,2,9,10,Returning_Visitor,False,False
3.0,144.66667,0.0,94.0,3.0,4310.775,0.013731061,0.014853801,12.7314415,0.0,June,2,2,1,6,Returning_Visitor,False,True
0.0,1715.0,0.0,73.75,48.0,637.5,0.019444443,0.024838096,15.756363,0.0,Mar,2,2,4,6,Returning_Visitor,False,False
5.0,226.95454,2.0,23.75,5.0,9151.494,0.005547653,0.011436389,100.7256,0.0,Oct,3,2,3,1,Returning_Visitor,False,False
8.0,34.833332,0.0,505.6,80.0,1166.1666,0.026111111,0.016624762,14.167392,0.0,May,2,1,8,3,New_Visitor,False,False
2.0,204.1,0.0,1174.0,44.0,1226.1,0.10909091,0.06425926,4.1076612,0.0,Mar,4,2,2,2,Returning_Visitor,False,False
2.0,79.666664,0.0,468.4,51.0,279.0,0.015327635,0.026412306,14.286298,0.4,May,2,2,1,2,Returning_Visitor,False,False
2.0,262.66666,0.0,151.5,129.0,1377.4095,0.034375,0.025876068,30.092813,0.0,Nov,3,2,3,2,Returning_Visitor,True,False
0.0,46.5,0.0,31.7,222.0,1739.575,0.004615385,0.026077097,4.745737,0.0,Mar,2,1,3,14,Returning_Visitor,False,False
0.0,56.89,0.0,118.1,31.0,307.4435,0.0,0.007605389,2.3976,0.2,Oct,1,2,1,14,Returning_Visitor,True,True
6.0,1305.1147,0.0,1165.1666,189.0,1535.2421,0.002702703,0.037057105,22.03277,0.0,Mar,1,5,7,3,Returning_Visitor,False,False
0.0,876.23334,0.0,50.0,127.0,2508.4138,0.006896552,0.02697054,3.6093986,0.0,Nov,3,2,4,3,Returning_Visitor,False,False
0.0,27.5,0.0,50.0,108.0,2834.28,0.018785883,0.0375,42.281277,0.0,Nov,1,2,1,1,New_Visitor,True,False
0.0,127.1,1.0,37.3,7.0,108.916664,0.001886792,0.012745098,30.21878,0.0,Dec,1,2,4,2,Returning_Visitor,False,False
3.0,107.7,0.0,160.0,237.0,1066.5,0.001811594,0.03907784,8.495651,1.0,June,4,2,1,3,Returning_Visitor,True,False
0.0,333.86743,0.0,0.0,5.0,2014.4166,0.010752688,0.02313712,26.41022,0.0,June,2,1,3,2,New_Visitor,False,False
