,Unnamed: 0,Metric,Result
0,0,Attribute Inference Risk,0.64
1,1,GeneralizedCAP,0.51
2,2,ZeroCAP,0.0
3,3,Median Distance to Closest Record,0.75
4,4,Hitting Rate,1.0
5,5,Membership Inference Risk,0.73
6,6,Nearest Neighbour Adversarial Accuracy,0.21
7,7,Common Row Proportion,0.34
8,8,Nearest Synthetic Neighbour Distance,0.82
9,9,Close Value Probability,0.01
10,10,Distant Value Probability,0.5
11,11,Authenticity,0.5
12,12,DetectionMLP,0.42
13,13,Identifiability Score,0.3
0,0,Distance to Closest Record,0.69
1,1,Nearest Neighbour Distance Ratio,0.31
2,2,Hidden Rate,0.0
