,Unnamed: 0,Metric,Result
0,0,GeneralizedCAP,0.51
1,1,ZeroCAP,0.0
2,2,Median Distance to Closest Record,0.16
3,3,Hitting Rate,0.05
4,4,Membership Inference Risk,0.0
5,5,Nearest Neighbour Adversarial Accuracy,0.02
6,6,Common Row Proportion,0.31
7,7,Nearest Synthetic Neighbour Distance,0.87
8,8,Close Value Probability,0.0
9,9,Distant Value Probability,0.89
10,10,Authenticity,0.96
11,11,DetectionMLP,0.0
12,12,Identifiability Score,0.01
13,0,Attribute Inference Riks,0.66
14,1,Distance to Closest Record,0.39
15,2,Nearest Neighbour Distance Ratio,0.18
16,3,Hidden Rate,0.0
