,Unnamed: 0,Metric,Result
0,0,GeneralizedCAP,0.47
1,1,ZeroCAP,0.0
2,2,Median Distance to Closest Record,0.14
3,3,Hitting Rate,0.03
4,4,Membership Inference Risk,0.0
5,5,Nearest Neighbour Adversarial Accuracy,0.01
6,6,Common Row Proportion,0.38
7,7,Nearest Synthetic Neighbour Distance,0.9
8,8,Close Value Probability,0.0
9,9,Distant Value Probability,0.99
10,10,Authenticity,0.82
11,11,DetectionMLP,0.0
12,12,Identifiability Score,0.01
13,0,Attribute Inference Riks,0.67
14,1,Distance to Closest Record,0.65
15,2,Nearest Neighbour Distance Ratio,0.25
16,3,Hidden Rate,0.0
